"","Latitude","Longitude","X100","NPP"
"521",-71.5,-23.5,-1.412,260.238
"522",-71.5,-22.5,-1.401,101.686
"523",-71.5,-21.5,-1.42,106.793
"524",-71.5,-20.5,-1.37,103.097
"525",-71.5,-19.5,-1.78,228.899
"526",-71.5,-18.5,-1.561,228.899
"527",-71.5,-17.5,-1.753,228.899
"528",-71.5,-16.5,-1.803,228.899
"529",-71.5,-15.5,-1.845,228.899
"530",-71.5,-14.5,-1.863,228.899
"531",-71.5,-13.5,-1.849,228.899
"532",-71.5,-12.5,-1.869,228.899
"533",-71.5,172.5,-1.241,193.105
"534",-71.5,173.5,-0.677,192.246633333333
"535",-71.5,174.5,-1.434,159.475
"536",-71.5,175.5,-1.8,146.4466
"537",-71.5,176.5,-1.151,157.5744
"538",-71.5,177.5,-0.463,137.275925
"539",-71.5,179.5,-1.7,147.0959
"540",-70.5,-179.5,-1.812,142.208366666667
"541",-70.5,-178.5,-1.76,132.016866666667
"542",-70.5,-177.5,-1.745,131.868766666667
"543",-70.5,-173.5,-1.735,210.3426
"544",-70.5,-172.5,-1.589,255.859333333333
"545",-70.5,-171.5,-1.813,290.628666666667
"546",-70.5,-162.5,-0.993,534.538333333333
"547",-70.5,-161.5,-0.994,655.163
"548",-70.5,-160.5,-1.008,647.403333333333
"549",-70.5,-159.5,-1.773,380.675
"550",-70.5,-158.5,-1.727,396.154333333333
"551",-70.5,-157.5,-1.748,350.168666666667
"552",-70.5,-156.5,-1.378,322.135333333333
"553",-70.5,-155.5,-1.606,367.862
"554",-70.5,-154.5,-1.465,406.319
"555",-70.5,-153.5,-1.515,341.546
"556",-70.5,-152.5,-1.411,343.356
"557",-70.5,-151.5,-1.468,326.103333333333
"558",-70.5,-150.5,-1.363,292.663333333333
"559",-70.5,-149.5,-1.219,258.718666666667
"560",-70.5,-148.5,-1.703,308.8115
"561",-70.5,-147.5,-1.709,297.775
"562",-70.5,-146.5,-1.383,244.4925
"563",-70.5,-143.5,-1.252,260.64
"564",-70.5,-142.5,-1.461,220.5825
"565",-70.5,-141.5,-1.633,249.382
"566",-70.5,-140.5,-1.311,270.559
"567",-70.5,-139.5,-1.464,343.82
"568",-70.5,-138.5,-1.555,215.979
"569",-70.5,-137.5,-1.555,281.33
"570",-70.5,-136.5,-1.586,322.488
"571",-70.5,-135.5,-1.222,208.6755
"572",-70.5,-134.5,-1.487,267.3295
"573",-70.5,-133.5,-1.165,284.483
"574",-70.5,-132.5,-0.277,359.555
"575",-70.5,-131.5,-0.27,286.207
"576",-70.5,-130.5,-1.053,419.619
"577",-70.5,-129.5,-0.978,419.619
"578",-70.5,-126.5,-1.047,254.995
"579",-70.5,-125.5,-0.869,250.819
"580",-70.5,-122.5,-1.169,203.395
"581",-70.5,-121.5,-1.302,203.395
"582",-70.5,-116.5,-1.186,187.5335
"583",-70.5,-115.5,-1.013,187.5335
"584",-70.5,-112.5,-1.576,182.0825
"585",-70.5,-111.5,-1.517,182.0825
"586",-70.5,-110.5,-1.365,119.716
"587",-70.5,-106.5,-1.541,219.796
"588",-70.5,-105.5,-1.77,219.796
"589",-70.5,-104.5,-1.553,219.796
"590",-70.5,-102.5,-1.434,219.796
"591",-70.5,-101.5,-1.644,219.796
"592",-70.5,-100.5,-1.692,219.796
"593",-70.5,-99.5,-1.058,219.796
"594",-70.5,-98.5,-0.84,219.796
"595",-70.5,-97.5,-1.031,219.796
"596",-70.5,-96.5,-1.427,149.8495
"597",-70.5,-95.5,-1.454,149.8495
"598",-70.5,-94.5,-1.593,149.8495
"599",-70.5,-93.5,-1.613,149.8495
"600",-70.5,-92.5,-1.636,149.8495
"601",-70.5,-91.5,-1.516,149.8495
"602",-70.5,-90.5,-1.602,149.8495
"603",-70.5,-89.5,-1.608,149.8495
"604",-70.5,-88.5,-1.582,149.8495
"605",-70.5,-87.5,-1.599,149.8495
"606",-70.5,-86.5,-1.645,153.7595
"607",-70.5,-85.5,-1.6,153.132
"608",-70.5,-84.5,-1.118,157.299
"609",-70.5,-83.5,-1.136,268.059
"610",-70.5,-82.5,-1.365,263.231333333333
"611",-70.5,-81.5,-1.364,563.543333333333
"612",-70.5,-80.5,-1.551,450.112333333333
"613",-70.5,-79.5,-1.441,300.550666666667
"614",-70.5,-78.5,-1.293,342.965
