"","Latitude","Longitude","X100","NPP","W","K","z_star"
"168",-74.5,-161.5,-1.805,625.539666666667,3.98505639714649,0.0114,349.566350626885
"169",-74.5,-160.5,-1.803,484.907666666667,3.74250666760035,0.0101,370.545214613896
"170",-74.5,-159.5,-1.751,534.235,3.85394266950878,0.0108,356.846543473035
"171",-74.5,-158.5,-1.774,405.232,3.62569638186921,0.0113,320.85808689108
"172",-74.5,-157.5,-1.761,471.8085,3.74233735350514,0.0114,328.27520644782
"173",-74.5,-156.5,-1.774,399.79,3.61685780127232,0.0115,314.50937402368
"175",-74.5,-151.5,-1.158,881.994,4.89090277689935,0.0105,465.800264466605
"176",-74.5,-150.5,-1.423,846.607,4.64003999540329,0.011,421.821817763936
"177",-74.5,-148.5,-1.736,877.218666666667,4.50418478472606,0.0112,402.159355779112
"178",-74.5,-147.5,-1.735,1063.82033333333,4.8980470649613,0.0118,415.088734318754
"179",-74.5,-145.5,-1.504,1011.72733333333,4.94084513338514,0.0116,425.934925291823
"180",-74.5,-144.5,-1.822,999.005,4.70060400471223,0.0105,447.676571877355
"181",-74.5,-143.5,-1.82,1877.33,6.97196690638054,0.0108,645.552491331531
"182",-74.5,-108.5,-1.359,68.3346,3.30207553015824,0.0119,277.48533866876
"185",-74.5,-51.5,-1.893,155.178,3.18795477685759,0.0117,272.474767252786
"187",-74.5,-49.5,-1.882,155.178,3.19282597623993,0.0104,307.002497715378
"188",-74.5,-48.5,-1.881,155.178,3.19326918146091,0.0118,270.616032327196
"189",-74.5,-47.5,-1.852,155.178,3.20614892989397,0.0114,281.241134201225
"190",-74.5,-46.5,-1.829,155.178,3.2164008314657,0.0103,312.271925385019
"191",-74.5,-45.5,-1.842,155.178,3.21060225717082,0.0115,279.182804971375
"192",-74.5,-44.5,-1.867,155.178,3.1994805183122,0.011,290.861865301109
"193",-74.5,-43.5,-1.846,155.178,3.2088201844625,0.0115,279.027842127174
"194",-74.5,-42.5,-1.843,155.178,3.21015664623042,0.0109,294.509784057837
"195",-74.5,-41.5,-1.847,155.178,3.20837482086233,0.012,267.364568405194
"196",-74.5,-40.5,-1.848,155.178,3.20792951907577,0.0106,302.634860290167
