"","df71.Fz0","df71.Longitude","df71.Latitude"
"546",65.6006282036927,-149.5,-70.5
"547",81.3934732289205,-148.5,-70.5
"548",78.5222636307255,-147.5,-70.5
"549",62.8121586329219,-146.5,-70.5
"550",66.2625032124637,-143.5,-70.5
"551",57.0242037278959,-142.5,-70.5
"552",65.3625776410497,-141.5,-70.5
"553",69.109639311936,-140.5,-70.5
"554",88.9044586276749,-139.5,-70.5
"555",56.2555785661623,-138.5,-70.5
"556",73.2774108502143,-137.5,-70.5
"557",84.2063181784815,-136.5,-70.5
"558",52.9243980728173,-135.5,-70.5
"559",69.252968452204,-134.5,-70.5
"560",71.8224806316545,-133.5,-70.5
"561",84.5506857303375,-132.5,-70.5
"562",67.2649538056079,-131.5,-70.5
"563",104.994837959469,-130.5,-70.5
"564",104.366755064644,-129.5,-70.5
"565",63.7728765214888,-126.5,-70.5
"566",61.8415577152295,-125.5,-70.5
"567",51.3668966609788,-122.5,-70.5
"568",51.9163583941868,-121.5,-70.5
"569",47.4255695889635,-116.5,-70.5
"570",46.7737209036173,-115.5,-70.5
"571",47.5063749264484,-112.5,-70.5
"572",47.2826731882074,-111.5,-70.5
"573",30.7117802065463,-110.5,-70.5
"574",57.185700357542,-106.5,-70.5
"575",58.2429976604978,-105.5,-70.5
"576",57.2406249894903,-104.5,-70.5
"577",56.6982798982977,-102.5,-70.5
"578",57.6588572577351,-101.5,-70.5
"579",57.8806929214876,-100.5,-70.5
"580",55.0181908558547,-99.5,-70.5
"581",54.0669921689649,-98.5,-70.5
"582",54.8994798176822,-97.5,-70.5
"583",38.6333343127101,-96.5,-70.5
"584",38.7168725035921,-95.5,-70.5
"585",39.1498067792281,-94.5,-70.5
"586",39.2124966085645,-93.5,-70.5
"587",39.2847140219697,-92.5,-70.5
"588",38.9093852280901,-91.5,-70.5
"589",39.1780047901749,-90.5,-70.5
"590",39.1968147465026,-89.5,-70.5
"591",39.115370103622,-88.5,-70.5
"592",39.1686031972616,-87.5,-70.5
"593",40.338797515225,-86.5,-70.5
"594",40.0298059140714,-85.5,-70.5
"595",39.563717863333,-84.5,-70.5
"596",67.5191415013957,-83.5,-70.5
"597",67.5290090949368,-82.5,-70.5
"598",120,-81.5,-70.5
"599",117.202265971375,-80.5,-70.5
"600",77.5730736229442,-79.5,-70.5
"601",87.4784459557119,-78.5,-70.5
"602",41.4144612935251,-77.5,-70.5
"603",41.1469632141488,-76.5,-70.5
"604",17.8312960550488,-48.5,-70.5
"605",18.2031584239542,-41.5,-70.5
"606",17.9946612882185,-40.5,-70.5
"607",18.0119444576492,-39.5,-70.5
"608",17.9500898196891,-34.5,-70.5
"609",33.3915772479501,-29.5,-70.5
"610",33.6428577815907,-28.5,-70.5
"611",35.7028024588031,-27.5,-70.5
"612",35.462418532043,-26.5,-70.5
"613",55.0433712529709,-25.5,-70.5
"614",56.9488812673973,-24.5,-70.5
"615",65.9886150186366,-23.5,-70.5
"616",81.3712845441525,-22.5,-70.5
"617",73.5889997089679,-21.5,-70.5
"618",80.0442559661718,-20.5,-70.5
"619",72.5525832476113,-19.5,-70.5
"620",79.9713174022875,-18.5,-70.5
"621",74.2068048390579,-17.5,-70.5
"622",72.4902045149976,-16.5,-70.5
"623",60.4563332003127,-15.5,-70.5
"624",60.9246993191486,-14.5,-70.5
"625",45.3045443023121,-13.5,-70.5
"626",40.2326727869435,-12.5,-70.5
"627",40.2519891054268,-11.5,-70.5
"628",40.1201788681224,-10.5,-70.5
"629",40.3390273693791,-9.5,-70.5
"630",40.1490757985541,-8.5,-70.5
"631",40.3906943842472,-7.5,-70.5
"632",39.8769882293027,-4.5,-70.5
"633",40.1009258033709,-3.5,-70.5
"634",40.0015987238656,-1.5,-70.5
"635",39.5877379036613,25.5,-70.5
"636",19.3075730802477,168.5,-70.5
"637",23.8942382415768,169.5,-70.5
"638",20.0656608161439,171.5,-70.5
"639",20.5844804888925,172.5,-70.5
"640",39.7017725406976,174.5,-70.5
"641",35.2550391337618,175.5,-70.5
"642",38.4940926400385,176.5,-70.5
"643",38.0060411121477,179.5,-70.5
"644",34.0156493651624,-179.5,-69.5
"645",21.1335783688837,-178.5,-69.5
"646",18.822851060523,-177.5,-69.5
"647",25.2235481867245,-176.5,-69.5
"648",25.1566950407907,-175.5,-69.5
"649",26.3227885355373,-174.5,-69.5
"650",36.4756224260087,-173.5,-69.5
"651",35.3396132872364,-171.5,-69.5
"652",40.4423127741724,-170.5,-69.5
"653",84.6441876931105,-165.5,-69.5
"654",72.4350836899604,-164.5,-69.5
"655",60.836879314049,-163.5,-69.5
"656",78.7874175243347,-160.5,-69.5
"657",92.9585157803272,-159.5,-69.5
"658",120,-158.5,-69.5
"659",120,-157.5,-69.5
"660",60.2965946789896,-152.5,-69.5
"661",61.261073902446,-151.5,-69.5
"662",65.1851170001303,-150.5,-69.5
"663",60.1153600002591,-149.5,-69.5
"664",66.2288193182907,-148.5,-69.5
"665",69.9114974985207,-147.5,-69.5
"666",68.289731198034,-146.5,-69.5
"667",70.9224546106668,-145.5,-69.5
"668",63.5807113188817,-144.5,-69.5
"669",67.0444581780879,-143.5,-69.5
"670",60.2543417085503,-142.5,-69.5
"671",63.7731547880686,-141.5,-69.5
"672",61.5323037376218,-140.5,-69.5
"673",53.8600872039731,-139.5,-69.5
"674",69.1972280090922,-138.5,-69.5
"675",72.5047901776961,-137.5,-69.5
"676",74.2630034965546,-136.5,-69.5
"677",70.7680289111671,-135.5,-69.5
"678",74.9075158752236,-134.5,-69.5
